Klatka,Biodro_X,Biodro_Y,Kolano_X,Kolano_Y,Kostka_X,Kostka_Y
1264,540.0338745117188,810.7738647460938,537.6126708984375,1060.269287109375,790.4505615234375,1239.399658203125
1265,559.2893676757812,794.9928588867188,528.2769165039062,1070.7822265625,743.5444946289062,1272.95556640625
1266,549.4976806640625,790.5554809570312,479.6944885253906,1089.3011474609375,694.5792846679688,1318.997314453125
1267,552.9519653320312,777.21826171875,451.1963195800781,1051.4542236328125,630.1900024414062,1284.2249755859375
1268,548.4234008789062,746.7272338867188,469.3219299316406,1051.416748046875,564.5947875976562,1325.548828125
1269,542.6610717773438,753.9693603515625,443.0592956542969,1049.484375,507.93878173828125,1332.96630859375
1270,538.5568237304688,749.8575439453125,441.601806640625,1071.9034423828125,440.93109130859375,1372.69091796875
1271,556.2646484375,745.5516357421875,443.4610595703125,1074.0706787109375,419.5945129394531,1367.32861328125
1272,562.1072387695312,752.5408325195312,434.44464111328125,1092.796875,437.8177490234375,1362.138916015625
1273,557.2545776367188,770.8048706054688,432.3338928222656,1124.1710205078125,466.6191101074219,1368.1849365234375
1274,534.8934936523438,795.5956420898438,408.3663024902344,1151.3397216796875,501.982177734375,1357.228515625
1275,532.4805297851562,831.2905883789062,427.0335388183594,1167.7816162109375,574.0211791992188,1367.5228271484375
1276,566.2171020507812,823.9640502929688,469.427490234375,1148.4375,679.1080932617188,1376.2501220703125
1277,567.3126831054688,816.9476318359375,483.78564453125,1121.7989501953125,716.3857421875,1344.277587890625
1278,593.33642578125,789.0009155273438,516.6853637695312,1105.3912353515625,724.9849853515625,1368.380859375
1279,597.1202392578125,775.838623046875,588.5861206054688,1107.1302490234375,790.0724487304688,1385.3115234375
1280,594.63134765625,746.8690795898438,637.659423828125,1077.56005859375,838.4267578125,1361.65185546875
1281,588.9124755859375,737.3226928710938,663.7550659179688,1056.4534912109375,850.3518676757812,1339.4622802734375
1282,567.2047119140625,750.591796875,675.9241333007812,1038.133056640625,870.61376953125,1308.4974365234375
1283,569.3713989257812,749.323486328125,689.7681274414062,1034.5052490234375,896.2862548828125,1297.80029296875
1284,565.70654296875,777.0731201171875,656.3766479492188,1036.7138671875,895.9026489257812,1271.063720703125
1285,558.5698852539062,774.8458251953125,634.1182250976562,1055.1292724609375,872.9573364257812,1264.4957275390625
1286,561.7889404296875,788.1326904296875,609.9508666992188,1076.0745849609375,858.0401611328125,1269.8001708984375
1287,565.4286499023438,806.638916015625,577.565185546875,1087.2149658203125,826.396728515625,1267.77587890625
1288,582.4879760742188,815.9031372070312,549.0185546875,1073.107666015625,778.9113159179688,1268.1295166015625
1289,579.174072265625,797.5030517578125,516.8351440429688,1083.340576171875,734.1036987304688,1314.713134765625
1290,567.6107177734375,787.3912353515625,483.2873840332031,1066.788330078125,692.8723754882812,1302.22314453125
1291,577.5584716796875,778.1204833984375,468.5851135253906,1057.955078125,601.1730346679688,1304.6251220703125
1292,570.3126831054688,768.1049194335938,466.8855285644531,1056.371826171875,546.7850952148438,1330.004638671875
1293,568.5682373046875,746.2647705078125,477.20269775390625,1057.817138671875,489.2908935546875,1360.6644287109375
1294,581.2946166992188,752.9910888671875,465.4457702636719,1074.017333984375,448.102294921875,1372.1737060546875
1295,589.5280151367188,759.98291015625,459.2884826660156,1093.7237548828125,448.8882751464844,1367.8125
1296,586.3627319335938,770.2833862304688,457.81329345703125,1114.6033935546875,468.8000793457031,1364.0789794921875
1297,573.1532592773438,787.0526733398438,446.6531066894531,1143.359375,509.4217529296875,1357.960693359375
1298,551.5738525390625,820.7927856445312,433.1236267089844,1169.3016357421875,555.4231567382812,1350.3643798828125
1299,557.3001708984375,824.2970581054688,443.7690124511719,1164.4942626953125,602.1630249023438,1344.83154296875
1300,589.69873046875,825.4330444335938,506.2656555175781,1142.2696533203125,723.5881958007812,1348.616455078125
1301,586.0614624023438,810.964599609375,507.5552673339844,1107.998779296875,738.9028930664062,1334.14892578125
1302,606.638916015625,788.3710327148438,533.4141845703125,1103.1416015625,755.73046875,1361.766357421875
1303,623.1634521484375,772.317138671875,636.5226440429688,1098.2786865234375,840.666748046875,1391.6209716796875
1304,623.345947265625,746.5374145507812,668.3917236328125,1068.6278076171875,865.5330200195312,1359.7225341796875
1305,585.9046020507812,734.8496704101562,684.61962890625,1038.772705078125,870.5765991210938,1325.4700927734375
1306,579.9892578125,746.5145263671875,702.431396484375,1028.798583984375,900.7644653320312,1296.187255859375
1307,582.7081298828125,755.2827758789062,693.620849609375,1033.5682373046875,907.7243041992188,1283.085205078125
1308,574.4744262695312,775.7774047851562,666.11279296875,1055.176513671875,895.7495727539062,1278.598876953125
1309,569.3409423828125,786.696044921875,621.7738037109375,1056.5120849609375,881.7694702148438,1247.93896484375
1310,565.9197998046875,797.196044921875,596.8312377929688,1077.436279296875,857.9029541015625,1250.216064453125
1311,568.7428588867188,800.2544555664062,554.113037109375,1075.76513671875,804.2212524414062,1254.1883544921875
1312,576.9716186523438,802.494140625,533.3642578125,1080.59716796875,754.1206665039062,1294.2554931640625
1313,570.1121215820312,799.0008544921875,497.86981201171875,1081.578125,728.593505859375,1310.21630859375
1314,574.1347045898438,780.0977783203125,470.9717102050781,1055.228759765625,630.0092163085938,1288.8907470703125
1315,572.219482421875,771.462890625,464.8053894042969,1049.634765625,568.7230834960938,1310.322265625
1316,561.2144165039062,751.1504516601562,465.0773620605469,1053.1798095703125,510.3664855957031,1337.3880615234375
1317,566.0507202148438,750.2677001953125,463.8060607910156,1065.6580810546875,453.5532531738281,1362.178466796875
1318,578.8963623046875,754.5682373046875,455.91156005859375,1079.0445556640625,436.5379943847656,1354.7147216796875
1319,583.232177734375,760.9959106445312,449.5697021484375,1100.278564453125,442.55084228515625,1357.28466796875
1320,582.8060913085938,775.5831909179688,440.2202453613281,1129.53125,476.53875732421875,1368.9788818359375
1321,557.37109375,798.91796875,419.9491882324219,1140.8470458984375,524.4913330078125,1342.5250244140625
1322,555.4134521484375,831.3008422851562,443.1523132324219,1155.3895263671875,583.5364990234375,1356.88623046875
1323,582.21533203125,831.1436157226562,475.66717529296875,1143.507568359375,673.298095703125,1373.0084228515625
1324,570.7687377929688,814.1294555664062,483.4497985839844,1101.2532958984375,705.6080932617188,1322.194580078125
1325,610.6221923828125,788.2084350585938,534.5233154296875,1101.621826171875,724.1079711914062,1371.076904296875
1326,618.2631225585938,770.099853515625,603.5905151367188,1095.167724609375,786.4005126953125,1386.0191650390625
1327,615.57421875,748.3040771484375,656.2532958984375,1070.3011474609375,841.7318115234375,1354.4947509765625
1328,586.355712890625,731.9297485351562,678.085693359375,1051.96435546875,860.8201904296875,1329.5142822265625
1329,578.8870849609375,734.8832397460938,694.7156372070312,1031.8729248046875,871.9506225585938,1310.9715576171875
1330,583.832275390625,748.0032348632812,686.4367065429688,1032.835693359375,889.3814086914062,1291.748046875
1331,573.257080078125,763.564697265625,660.8935546875,1044.303466796875,880.0082397460938,1276.6907958984375
1332,572.2020263671875,778.6065673828125,622.9453735351562,1056.2464599609375,867.0604858398438,1257.640380859375
1333,569.1019287109375,784.6708374023438,599.7552490234375,1072.582763671875,842.8511962890625,1253.9058837890625
1334,580.7281494140625,796.278076171875,561.5116577148438,1068.466552734375,805.5306396484375,1258.60498046875
1335,588.4630126953125,799.5609741210938,539.842529296875,1082.706298828125,753.1129760742188,1302.1400146484375
1336,583.3225708007812,794.3707275390625,510.5896911621094,1087.598388671875,727.5468139648438,1323.1138916015625
1337,593.4466552734375,787.2496948242188,482.57666015625,1061.1558837890625,638.4475708007812,1291.70361328125
1338,584.5706787109375,775.8333129882812,480.3639221191406,1052.6202392578125,587.1548461914062,1307.7049560546875
1339,577.9971923828125,755.8619384765625,483.8011779785156,1053.9034423828125,534.307861328125,1342.0616455078125
1340,575.9326171875,754.1288452148438,485.4064025878906,1064.0654296875,487.0922546386719,1363.0968017578125
1341,590.9217529296875,759.9885864257812,482.5700988769531,1082.0716552734375,464.65557861328125,1368.30908203125
1342,593.6217041015625,766.8851318359375,472.15093994140625,1106.706298828125,473.1200866699219,1369.1834716796875
1343,606.6280517578125,783.3898315429688,471.90875244140625,1137.633544921875,516.605712890625,1374.6307373046875
1344,582.0783081054688,814.2295532226562,458.4266052246094,1162.3018798828125,554.8085327148438,1369.0836181640625
1345,559.0262451171875,835.2969360351562,465.70166015625,1170.509521484375,633.3525390625,1363.092529296875
1346,592.5743408203125,824.2432861328125,494.8172607421875,1156.018798828125,687.2871704101562,1372.351806640625
1347,596.3880004882812,817.0360717773438,524.8067626953125,1123.44287109375,756.7304077148438,1333.2166748046875
1348,617.571533203125,786.3682250976562,538.1819458007812,1103.8057861328125,761.950927734375,1352.8187255859375
